PING 10.10.1.3 (10.10.1.3) 56(84) bytes of data.
64 bytes from 10.10.1.3: icmp_seq=82 ttl=64 time=0.566 ms
64 bytes from 10.10.1.3: icmp_seq=83 ttl=64 time=0.449 ms
64 bytes from 10.10.1.3: icmp_seq=84 ttl=64 time=0.486 ms
64 bytes from 10.10.1.3: icmp_seq=85 ttl=64 time=0.530 ms
64 bytes from 10.10.1.3: icmp_seq=86 ttl=64 time=0.444 ms
64 bytes from 10.10.1.3: icmp_seq=87 ttl=64 time=0.513 ms
64 bytes from 10.10.1.3: icmp_seq=88 ttl=64 time=0.565 ms
64 bytes from 10.10.1.3: icmp_seq=89 ttl=64 time=0.484 ms
64 bytes from 10.10.1.3: icmp_seq=90 ttl=64 time=0.483 ms
64 bytes from 10.10.1.3: icmp_seq=91 ttl=64 time=0.496 ms
64 bytes from 10.10.1.3: icmp_seq=92 ttl=64 time=0.423 ms
64 bytes from 10.10.1.3: icmp_seq=93 ttl=64 time=0.469 ms
64 bytes from 10.10.1.3: icmp_seq=94 ttl=64 time=0.438 ms
64 bytes from 10.10.1.3: icmp_seq=95 ttl=64 time=0.526 ms
64 bytes from 10.10.1.3: icmp_seq=96 ttl=64 time=0.515 ms
64 bytes from 10.10.1.3: icmp_seq=97 ttl=64 time=0.566 ms
64 bytes from 10.10.1.3: icmp_seq=98 ttl=64 time=0.488 ms
64 bytes from 10.10.1.3: icmp_seq=99 ttl=64 time=0.514 ms
64 bytes from 10.10.1.3: icmp_seq=100 ttl=64 time=0.543 ms

--- 10.10.1.3 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 101278ms
rtt min/avg/max/mdev = 0.331/0.498/0.790/0.087 ms
