PING 10.10.1.3 (10.10.1.3) 1000(1028) bytes of data.
1008 bytes from 10.10.1.3: icmp_seq=1 ttl=64 time=0.537 ms
1008 bytes from 10.10.1.3: icmp_seq=2 ttl=64 time=0.475 ms
1008 bytes from 10.10.1.3: icmp_seq=3 ttl=64 time=0.520 ms
1008 bytes from 10.10.1.3: icmp_seq=4 ttl=64 time=0.611 ms
1008 bytes from 10.10.1.3: icmp_seq=5 ttl=64 time=0.451 ms
1008 bytes from 10.10.1.3: icmp_seq=6 ttl=64 time=0.553 ms
1008 bytes from 10.10.1.3: icmp_seq=7 ttl=64 time=0.477 ms
1008 bytes from 10.10.1.3: icmp_seq=8 ttl=64 time=0.584 ms
1008 bytes from 10.10.1.3: icmp_seq=9 ttl=64 time=0.623 ms
1008 bytes from 10.10.1.3: icmp_seq=10 ttl=64 time=0.600 ms
1008 bytes from 10.10.1.3: icmp_seq=11 ttl=64 time=0.539 ms
1008 bytes from 10.10.1.3: icmp_seq=12 ttl=64 time=0.598 ms
1008 bytes from 10.10.1.3: icmp_seq=13 ttl=64 time=0.486 ms
1008 bytes from 10.10.1.3: icmp_seq=14 ttl=64 time=0.552 ms
1008 bytes from 10.10.1.3: icmp_seq=15 ttl=64 time=0.544 ms
1008 bytes from 10.10.1.3: icmp_seq=16 ttl=64 time=0.526 ms
1008 bytes from 10.10.1.3: icmp_seq=17 ttl=64 time=0.531 ms
1008 bytes from 10.10.1.3: icmp_seq=18 ttl=64 time=0.489 ms
1008 bytes from 10.10.1.3: icmp_seq=19 ttl=64 time=0.644 ms
1008 bytes from 10.10.1.3: icmp_seq=20 ttl=64 time=0.602 ms
1008 bytes from 10.10.1.3: icmp_seq=21 ttl=64 time=0.568 ms
1008 bytes from 10.10.1.3: icmp_seq=22 ttl=64 time=0.508 ms
1008 bytes from 10.10.1.3: icmp_seq=23 ttl=64 time=0.450 ms
1008 bytes from 10.10.1.3: icmp_seq=24 ttl=64 time=0.611 ms
1008 bytes from 10.10.1.3: icmp_seq=25 ttl=64 time=0.462 ms
1008 bytes from 10.10.1.3: icmp_seq=26 ttl=64 time=0.521 ms
1008 bytes from 10.10.1.3: icmp_seq=27 ttl=64 time=0.560 ms
1008 bytes from 10.10.1.3: icmp_seq=28 ttl=64 time=0.636 ms
1008 bytes from 10.10.1.3: icmp_seq=29 ttl=64 time=0.570 ms
1008 bytes from 10.10.1.3: icmp_seq=30 ttl=64 time=0.609 ms
1008 bytes from 10.10.1.3: icmp_seq=31 ttl=64 time=0.601 ms
1008 bytes from 10.10.1.3: icmp_seq=32 ttl=64 time=0.550 ms
1008 bytes from 10.10.1.3: icmp_seq=33 ttl=64 time=0.583 ms
1008 bytes from 10.10.1.3: icmp_seq=34 ttl=64 time=0.536 ms
1008 bytes from 10.10.1.3: icmp_seq=35 ttl=64 time=0.477 ms
1008 bytes from 10.10.1.3: icmp_seq=36 ttl=64 time=0.506 ms
1008 bytes from 10.10.1.3: icmp_seq=37 ttl=64 time=0.676 ms
1008 bytes from 10.10.1.3: icmp_seq=38 ttl=64 time=0.576 ms
1008 bytes from 10.10.1.3: icmp_seq=39 ttl=64 time=0.606 ms
1008 bytes from 10.10.1.3: icmp_seq=40 ttl=64 time=0.469 ms
1008 bytes from 10.10.1.3: icmp_seq=41 ttl=64 time=0.545 ms
1008 bytes from 10.10.1.3: icmp_seq=42 ttl=64 time=0.576 ms
1008 bytes from 10.10.1.3: icmp_seq=43 ttl=64 time=0.479 ms
1008 bytes from 10.10.1.3: icmp_seq=44 ttl=64 time=0.541 ms
1008 bytes from 10.10.1.3: icmp_seq=45 ttl=64 time=0.524 ms
1008 bytes from 10.10.1.3: icmp_seq=46 ttl=64 time=0.497 ms
1008 bytes from 10.10.1.3: icmp_seq=47 ttl=64 time=0.532 ms
1008 bytes from 10.10.1.3: icmp_seq=48 ttl=64 time=0.603 ms
1008 bytes from 10.10.1.3: icmp_seq=49 ttl=64 time=0.595 ms
1008 bytes from 10.10.1.3: icmp_seq=50 ttl=64 time=0.523 ms
1008 bytes from 10.10.1.3: icmp_seq=51 ttl=64 time=0.492 ms
1008 bytes from 10.10.1.3: icmp_seq=52 ttl=64 time=0.463 ms
1008 bytes from 10.10.1.3: icmp_seq=53 ttl=64 time=0.551 ms
1008 bytes from 10.10.1.3: icmp_seq=54 ttl=64 time=0.500 ms
1008 bytes from 10.10.1.3: icmp_seq=55 ttl=64 time=0.592 ms
1008 bytes from 10.10.1.3: icmp_seq=56 ttl=64 time=0.516 ms
1008 bytes from 10.10.1.3: icmp_seq=57 ttl=64 time=0.513 ms
1008 bytes from 10.10.1.3: icmp_seq=58 ttl=64 time=0.590 ms
1008 bytes from 10.10.1.3: icmp_seq=59 ttl=64 time=0.636 ms
1008 bytes from 10.10.1.3: icmp_seq=60 ttl=64 time=0.529 ms
1008 bytes from 10.10.1.3: icmp_seq=61 ttl=64 time=0.444 ms
1008 bytes from 10.10.1.3: icmp_seq=62 ttl=64 time=0.535 ms
1008 bytes from 10.10.1.3: icmp_seq=63 ttl=64 time=0.651 ms
1008 bytes from 10.10.1.3: icmp_seq=64 ttl=64 time=0.590 ms
1008 bytes from 10.10.1.3: icmp_seq=65 ttl=64 time=0.572 ms
1008 bytes from 10.10.1.3: icmp_seq=66 ttl=64 time=0.459 ms
1008 bytes from 10.10.1.3: icmp_seq=67 ttl=64 time=0.444 ms
1008 bytes from 10.10.1.3: icmp_seq=68 ttl=64 time=0.662 ms
1008 bytes from 10.10.1.3: icmp_seq=69 ttl=64 time=0.602 ms
1008 bytes from 10.10.1.3: icmp_seq=70 ttl=64 time=0.530 ms
1008 bytes from 10.10.1.3: icmp_seq=71 ttl=64 time=0.475 ms
1008 bytes from 10.10.1.3: icmp_seq=72 ttl=64 time=0.518 ms
1008 bytes from 10.10.1.3: icmp_seq=73 ttl=64 time=0.472 ms
1008 bytes from 10.10.1.3: icmp_seq=74 ttl=64 time=0.629 ms
1008 bytes from 10.10.1.3: icmp_seq=75 ttl=64 time=0.492 ms
1008 bytes from 10.10.1.3: icmp_seq=76 ttl=64 time=0.559 ms
1008 bytes from 10.10.1.3: icmp_seq=77 ttl=64 time=0.501 ms
1008 bytes from 10.10.1.3: icmp_seq=78 ttl=64 time=0.518 ms
1008 bytes from 10.10.1.3: icmp_seq=79 ttl=64 time=0.578 ms
1008 bytes from 10.10.1.3: icmp_seq=80 ttl=64 time=0.620 ms
1008 bytes from 10.10.1.3: icmp_seq=81 ttl=64 time=0.538 ms
