PING 10.10.1.3 (10.10.1.3) 500(528) bytes of data.
508 bytes from 10.10.1.3: icmp_seq=1 ttl=64 time=0.434 ms
508 bytes from 10.10.1.3: icmp_seq=2 ttl=64 time=0.402 ms
508 bytes from 10.10.1.3: icmp_seq=3 ttl=64 time=0.540 ms
508 bytes from 10.10.1.3: icmp_seq=4 ttl=64 time=0.593 ms
508 bytes from 10.10.1.3: icmp_seq=5 ttl=64 time=0.508 ms
508 bytes from 10.10.1.3: icmp_seq=6 ttl=64 time=0.623 ms
508 bytes from 10.10.1.3: icmp_seq=7 ttl=64 time=0.506 ms
508 bytes from 10.10.1.3: icmp_seq=8 ttl=64 time=0.500 ms
508 bytes from 10.10.1.3: icmp_seq=9 ttl=64 time=0.576 ms
508 bytes from 10.10.1.3: icmp_seq=10 ttl=64 time=0.536 ms
508 bytes from 10.10.1.3: icmp_seq=11 ttl=64 time=0.533 ms
508 bytes from 10.10.1.3: icmp_seq=12 ttl=64 time=0.531 ms
508 bytes from 10.10.1.3: icmp_seq=13 ttl=64 time=0.584 ms
508 bytes from 10.10.1.3: icmp_seq=14 ttl=64 time=0.581 ms
508 bytes from 10.10.1.3: icmp_seq=15 ttl=64 time=0.488 ms
508 bytes from 10.10.1.3: icmp_seq=16 ttl=64 time=0.568 ms
508 bytes from 10.10.1.3: icmp_seq=17 ttl=64 time=0.612 ms
508 bytes from 10.10.1.3: icmp_seq=18 ttl=64 time=0.568 ms
508 bytes from 10.10.1.3: icmp_seq=19 ttl=64 time=0.531 ms
508 bytes from 10.10.1.3: icmp_seq=20 ttl=64 time=0.495 ms
508 bytes from 10.10.1.3: icmp_seq=21 ttl=64 time=0.657 ms
508 bytes from 10.10.1.3: icmp_seq=22 ttl=64 time=0.416 ms
508 bytes from 10.10.1.3: icmp_seq=23 ttl=64 time=0.444 ms
508 bytes from 10.10.1.3: icmp_seq=24 ttl=64 time=0.430 ms
508 bytes from 10.10.1.3: icmp_seq=25 ttl=64 time=0.493 ms
508 bytes from 10.10.1.3: icmp_seq=26 ttl=64 time=0.551 ms
508 bytes from 10.10.1.3: icmp_seq=27 ttl=64 time=0.488 ms
508 bytes from 10.10.1.3: icmp_seq=28 ttl=64 time=0.512 ms
508 bytes from 10.10.1.3: icmp_seq=29 ttl=64 time=0.555 ms
508 bytes from 10.10.1.3: icmp_seq=30 ttl=64 time=0.588 ms
508 bytes from 10.10.1.3: icmp_seq=31 ttl=64 time=0.504 ms
508 bytes from 10.10.1.3: icmp_seq=32 ttl=64 time=0.538 ms
508 bytes from 10.10.1.3: icmp_seq=33 ttl=64 time=0.579 ms
508 bytes from 10.10.1.3: icmp_seq=34 ttl=64 time=0.498 ms
508 bytes from 10.10.1.3: icmp_seq=35 ttl=64 time=0.488 ms
508 bytes from 10.10.1.3: icmp_seq=36 ttl=64 time=0.546 ms
508 bytes from 10.10.1.3: icmp_seq=37 ttl=64 time=0.564 ms
508 bytes from 10.10.1.3: icmp_seq=38 ttl=64 time=0.628 ms
508 bytes from 10.10.1.3: icmp_seq=39 ttl=64 time=0.579 ms
508 bytes from 10.10.1.3: icmp_seq=40 ttl=64 time=0.440 ms
508 bytes from 10.10.1.3: icmp_seq=41 ttl=64 time=0.441 ms
508 bytes from 10.10.1.3: icmp_seq=42 ttl=64 time=0.482 ms
508 bytes from 10.10.1.3: icmp_seq=43 ttl=64 time=0.658 ms
508 bytes from 10.10.1.3: icmp_seq=44 ttl=64 time=0.594 ms
508 bytes from 10.10.1.3: icmp_seq=45 ttl=64 time=0.413 ms
508 bytes from 10.10.1.3: icmp_seq=46 ttl=64 time=0.496 ms
508 bytes from 10.10.1.3: icmp_seq=47 ttl=64 time=0.494 ms
508 bytes from 10.10.1.3: icmp_seq=48 ttl=64 time=0.407 ms
508 bytes from 10.10.1.3: icmp_seq=49 ttl=64 time=0.568 ms
508 bytes from 10.10.1.3: icmp_seq=50 ttl=64 time=0.615 ms
508 bytes from 10.10.1.3: icmp_seq=51 ttl=64 time=0.833 ms
508 bytes from 10.10.1.3: icmp_seq=52 ttl=64 time=0.430 ms
508 bytes from 10.10.1.3: icmp_seq=53 ttl=64 time=0.626 ms
508 bytes from 10.10.1.3: icmp_seq=54 ttl=64 time=0.489 ms
508 bytes from 10.10.1.3: icmp_seq=55 ttl=64 time=0.462 ms
508 bytes from 10.10.1.3: icmp_seq=56 ttl=64 time=0.418 ms
508 bytes from 10.10.1.3: icmp_seq=57 ttl=64 time=0.392 ms
508 bytes from 10.10.1.3: icmp_seq=58 ttl=64 time=0.500 ms
508 bytes from 10.10.1.3: icmp_seq=59 ttl=64 time=0.543 ms
508 bytes from 10.10.1.3: icmp_seq=60 ttl=64 time=0.661 ms
508 bytes from 10.10.1.3: icmp_seq=61 ttl=64 time=0.407 ms
508 bytes from 10.10.1.3: icmp_seq=62 ttl=64 time=0.505 ms
508 bytes from 10.10.1.3: icmp_seq=63 ttl=64 time=0.412 ms
508 bytes from 10.10.1.3: icmp_seq=64 ttl=64 time=0.565 ms
508 bytes from 10.10.1.3: icmp_seq=65 ttl=64 time=0.540 ms
508 bytes from 10.10.1.3: icmp_seq=66 ttl=64 time=0.617 ms
508 bytes from 10.10.1.3: icmp_seq=67 ttl=64 time=0.511 ms
508 bytes from 10.10.1.3: icmp_seq=68 ttl=64 time=0.568 ms
508 bytes from 10.10.1.3: icmp_seq=69 ttl=64 time=0.432 ms
508 bytes from 10.10.1.3: icmp_seq=70 ttl=64 time=0.616 ms
508 bytes from 10.10.1.3: icmp_seq=71 ttl=64 time=0.515 ms
508 bytes from 10.10.1.3: icmp_seq=72 ttl=64 time=0.604 ms
508 bytes from 10.10.1.3: icmp_seq=73 ttl=64 time=0.522 ms
508 bytes from 10.10.1.3: icmp_seq=74 ttl=64 time=0.560 ms
508 bytes from 10.10.1.3: icmp_seq=75 ttl=64 time=0.541 ms
508 bytes from 10.10.1.3: icmp_seq=76 ttl=64 time=0.542 ms
508 bytes from 10.10.1.3: icmp_seq=77 ttl=64 time=0.657 ms
508 bytes from 10.10.1.3: icmp_seq=78 ttl=64 time=0.466 ms
508 bytes from 10.10.1.3: icmp_seq=79 ttl=64 time=0.606 ms
508 bytes from 10.10.1.3: icmp_seq=80 ttl=64 time=0.391 ms
508 bytes from 10.10.1.3: icmp_seq=81 ttl=64 time=0.479 ms
508 bytes from 10.10.1.3: icmp_seq=82 ttl=64 time=0.583 ms
508 bytes from 10.10.1.3: icmp_seq=83 ttl=64 time=0.440 ms
508 bytes from 10.10.1.3: icmp_seq=84 ttl=64 time=0.576 ms
