PING 10.10.1.3 (10.10.1.3) 1400(1428) bytes of data.
1408 bytes from 10.10.1.3: icmp_seq=80 ttl=64 time=0.497 ms
1408 bytes from 10.10.1.3: icmp_seq=81 ttl=64 time=0.564 ms
1408 bytes from 10.10.1.3: icmp_seq=82 ttl=64 time=0.565 ms
1408 bytes from 10.10.1.3: icmp_seq=83 ttl=64 time=0.610 ms
1408 bytes from 10.10.1.3: icmp_seq=84 ttl=64 time=0.569 ms
1408 bytes from 10.10.1.3: icmp_seq=85 ttl=64 time=0.718 ms
1408 bytes from 10.10.1.3: icmp_seq=86 ttl=64 time=0.592 ms
1408 bytes from 10.10.1.3: icmp_seq=87 ttl=64 time=0.647 ms
1408 bytes from 10.10.1.3: icmp_seq=88 ttl=64 time=0.712 ms
1408 bytes from 10.10.1.3: icmp_seq=89 ttl=64 time=0.578 ms
1408 bytes from 10.10.1.3: icmp_seq=90 ttl=64 time=0.650 ms
1408 bytes from 10.10.1.3: icmp_seq=91 ttl=64 time=0.921 ms
1408 bytes from 10.10.1.3: icmp_seq=92 ttl=64 time=0.654 ms
1408 bytes from 10.10.1.3: icmp_seq=93 ttl=64 time=0.821 ms
1408 bytes from 10.10.1.3: icmp_seq=94 ttl=64 time=0.474 ms
1408 bytes from 10.10.1.3: icmp_seq=95 ttl=64 time=0.712 ms
1408 bytes from 10.10.1.3: icmp_seq=96 ttl=64 time=0.572 ms
1408 bytes from 10.10.1.3: icmp_seq=97 ttl=64 time=0.529 ms
1408 bytes from 10.10.1.3: icmp_seq=98 ttl=64 time=0.565 ms
1408 bytes from 10.10.1.3: icmp_seq=99 ttl=64 time=0.572 ms
1408 bytes from 10.10.1.3: icmp_seq=100 ttl=64 time=0.687 ms

--- 10.10.1.3 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 101246ms
rtt min/avg/max/mdev = 0.474/0.600/0.921/0.073 ms
