PING 10.10.1.3 (10.10.1.3) 100(128) bytes of data.
108 bytes from 10.10.1.3: icmp_seq=60 ttl=64 time=0.322 ms
108 bytes from 10.10.1.3: icmp_seq=61 ttl=64 time=0.538 ms
108 bytes from 10.10.1.3: icmp_seq=62 ttl=64 time=0.398 ms
108 bytes from 10.10.1.3: icmp_seq=63 ttl=64 time=0.325 ms
108 bytes from 10.10.1.3: icmp_seq=64 ttl=64 time=0.338 ms
108 bytes from 10.10.1.3: icmp_seq=65 ttl=64 time=0.303 ms
108 bytes from 10.10.1.3: icmp_seq=66 ttl=64 time=0.285 ms
108 bytes from 10.10.1.3: icmp_seq=67 ttl=64 time=0.472 ms
108 bytes from 10.10.1.3: icmp_seq=68 ttl=64 time=0.437 ms
108 bytes from 10.10.1.3: icmp_seq=69 ttl=64 time=0.373 ms
108 bytes from 10.10.1.3: icmp_seq=70 ttl=64 time=0.474 ms
108 bytes from 10.10.1.3: icmp_seq=71 ttl=64 time=0.381 ms
108 bytes from 10.10.1.3: icmp_seq=72 ttl=64 time=0.358 ms
108 bytes from 10.10.1.3: icmp_seq=73 ttl=64 time=0.345 ms
108 bytes from 10.10.1.3: icmp_seq=74 ttl=64 time=0.363 ms
108 bytes from 10.10.1.3: icmp_seq=75 ttl=64 time=0.349 ms
108 bytes from 10.10.1.3: icmp_seq=76 ttl=64 time=0.598 ms
108 bytes from 10.10.1.3: icmp_seq=77 ttl=64 time=0.418 ms
108 bytes from 10.10.1.3: icmp_seq=78 ttl=64 time=0.356 ms
108 bytes from 10.10.1.3: icmp_seq=79 ttl=64 time=0.466 ms
108 bytes from 10.10.1.3: icmp_seq=80 ttl=64 time=0.458 ms
108 bytes from 10.10.1.3: icmp_seq=81 ttl=64 time=0.308 ms
108 bytes from 10.10.1.3: icmp_seq=82 ttl=64 time=0.463 ms
108 bytes from 10.10.1.3: icmp_seq=83 ttl=64 time=0.432 ms
108 bytes from 10.10.1.3: icmp_seq=84 ttl=64 time=0.405 ms
108 bytes from 10.10.1.3: icmp_seq=85 ttl=64 time=0.259 ms
108 bytes from 10.10.1.3: icmp_seq=86 ttl=64 time=0.383 ms
108 bytes from 10.10.1.3: icmp_seq=87 ttl=64 time=0.399 ms
108 bytes from 10.10.1.3: icmp_seq=88 ttl=64 time=0.338 ms
108 bytes from 10.10.1.3: icmp_seq=89 ttl=64 time=0.345 ms
108 bytes from 10.10.1.3: icmp_seq=90 ttl=64 time=0.386 ms
108 bytes from 10.10.1.3: icmp_seq=91 ttl=64 time=0.414 ms
108 bytes from 10.10.1.3: icmp_seq=92 ttl=64 time=0.438 ms
108 bytes from 10.10.1.3: icmp_seq=93 ttl=64 time=0.348 ms
108 bytes from 10.10.1.3: icmp_seq=94 ttl=64 time=0.309 ms
108 bytes from 10.10.1.3: icmp_seq=95 ttl=64 time=0.576 ms
108 bytes from 10.10.1.3: icmp_seq=96 ttl=64 time=0.288 ms
108 bytes from 10.10.1.3: icmp_seq=97 ttl=64 time=0.388 ms
108 bytes from 10.10.1.3: icmp_seq=98 ttl=64 time=0.431 ms
108 bytes from 10.10.1.3: icmp_seq=99 ttl=64 time=0.371 ms
108 bytes from 10.10.1.3: icmp_seq=100 ttl=64 time=0.313 ms

--- 10.10.1.3 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 101325ms
rtt min/avg/max/mdev = 0.259/0.406/0.694/0.077 ms
