PING 10.10.1.3 (10.10.1.3) 100(128) bytes of data.
108 bytes from 10.10.1.3: icmp_seq=1 ttl=64 time=0.344 ms
108 bytes from 10.10.1.3: icmp_seq=2 ttl=64 time=0.441 ms
108 bytes from 10.10.1.3: icmp_seq=3 ttl=64 time=0.322 ms
108 bytes from 10.10.1.3: icmp_seq=4 ttl=64 time=0.398 ms
108 bytes from 10.10.1.3: icmp_seq=5 ttl=64 time=0.300 ms
108 bytes from 10.10.1.3: icmp_seq=6 ttl=64 time=0.316 ms
108 bytes from 10.10.1.3: icmp_seq=7 ttl=64 time=0.426 ms
108 bytes from 10.10.1.3: icmp_seq=8 ttl=64 time=0.694 ms
108 bytes from 10.10.1.3: icmp_seq=9 ttl=64 time=0.308 ms
108 bytes from 10.10.1.3: icmp_seq=10 ttl=64 time=0.432 ms
108 bytes from 10.10.1.3: icmp_seq=11 ttl=64 time=0.322 ms
108 bytes from 10.10.1.3: icmp_seq=12 ttl=64 time=0.553 ms
108 bytes from 10.10.1.3: icmp_seq=13 ttl=64 time=0.413 ms
108 bytes from 10.10.1.3: icmp_seq=14 ttl=64 time=0.383 ms
108 bytes from 10.10.1.3: icmp_seq=15 ttl=64 time=0.318 ms
108 bytes from 10.10.1.3: icmp_seq=16 ttl=64 time=0.331 ms
108 bytes from 10.10.1.3: icmp_seq=17 ttl=64 time=0.408 ms
108 bytes from 10.10.1.3: icmp_seq=18 ttl=64 time=0.365 ms
108 bytes from 10.10.1.3: icmp_seq=19 ttl=64 time=0.498 ms
108 bytes from 10.10.1.3: icmp_seq=20 ttl=64 time=0.461 ms
108 bytes from 10.10.1.3: icmp_seq=21 ttl=64 time=0.433 ms
108 bytes from 10.10.1.3: icmp_seq=22 ttl=64 time=0.395 ms
108 bytes from 10.10.1.3: icmp_seq=23 ttl=64 time=0.312 ms
108 bytes from 10.10.1.3: icmp_seq=24 ttl=64 time=0.322 ms
108 bytes from 10.10.1.3: icmp_seq=25 ttl=64 time=0.393 ms
108 bytes from 10.10.1.3: icmp_seq=26 ttl=64 time=0.407 ms
108 bytes from 10.10.1.3: icmp_seq=27 ttl=64 time=0.456 ms
108 bytes from 10.10.1.3: icmp_seq=28 ttl=64 time=0.486 ms
108 bytes from 10.10.1.3: icmp_seq=29 ttl=64 time=0.405 ms
108 bytes from 10.10.1.3: icmp_seq=30 ttl=64 time=0.442 ms
108 bytes from 10.10.1.3: icmp_seq=31 ttl=64 time=0.457 ms
108 bytes from 10.10.1.3: icmp_seq=32 ttl=64 time=0.441 ms
108 bytes from 10.10.1.3: icmp_seq=33 ttl=64 time=0.516 ms
108 bytes from 10.10.1.3: icmp_seq=34 ttl=64 time=0.458 ms
108 bytes from 10.10.1.3: icmp_seq=35 ttl=64 time=0.371 ms
108 bytes from 10.10.1.3: icmp_seq=36 ttl=64 time=0.365 ms
108 bytes from 10.10.1.3: icmp_seq=37 ttl=64 time=0.491 ms
108 bytes from 10.10.1.3: icmp_seq=38 ttl=64 time=0.499 ms
108 bytes from 10.10.1.3: icmp_seq=39 ttl=64 time=0.487 ms
108 bytes from 10.10.1.3: icmp_seq=40 ttl=64 time=0.491 ms
108 bytes from 10.10.1.3: icmp_seq=41 ttl=64 time=0.486 ms
108 bytes from 10.10.1.3: icmp_seq=42 ttl=64 time=0.394 ms
108 bytes from 10.10.1.3: icmp_seq=43 ttl=64 time=0.384 ms
108 bytes from 10.10.1.3: icmp_seq=44 ttl=64 time=0.379 ms
108 bytes from 10.10.1.3: icmp_seq=45 ttl=64 time=0.377 ms
108 bytes from 10.10.1.3: icmp_seq=46 ttl=64 time=0.457 ms
108 bytes from 10.10.1.3: icmp_seq=47 ttl=64 time=0.647 ms
108 bytes from 10.10.1.3: icmp_seq=48 ttl=64 time=0.436 ms
108 bytes from 10.10.1.3: icmp_seq=49 ttl=64 time=0.491 ms
108 bytes from 10.10.1.3: icmp_seq=50 ttl=64 time=0.389 ms
108 bytes from 10.10.1.3: icmp_seq=51 ttl=64 time=0.427 ms
108 bytes from 10.10.1.3: icmp_seq=52 ttl=64 time=0.282 ms
108 bytes from 10.10.1.3: icmp_seq=53 ttl=64 time=0.411 ms
108 bytes from 10.10.1.3: icmp_seq=54 ttl=64 time=0.344 ms
108 bytes from 10.10.1.3: icmp_seq=55 ttl=64 time=0.457 ms
108 bytes from 10.10.1.3: icmp_seq=56 ttl=64 time=0.461 ms
108 bytes from 10.10.1.3: icmp_seq=57 ttl=64 time=0.437 ms
108 bytes from 10.10.1.3: icmp_seq=58 ttl=64 time=0.401 ms
108 bytes from 10.10.1.3: icmp_seq=59 ttl=64 time=0.356 ms
