PING 10.10.1.3 (10.10.1.3) 500(528) bytes of data.
508 bytes from 10.10.1.3: icmp_seq=82 ttl=64 time=0.385 ms
508 bytes from 10.10.1.3: icmp_seq=83 ttl=64 time=0.409 ms
508 bytes from 10.10.1.3: icmp_seq=84 ttl=64 time=0.489 ms
508 bytes from 10.10.1.3: icmp_seq=85 ttl=64 time=0.358 ms
508 bytes from 10.10.1.3: icmp_seq=86 ttl=64 time=0.382 ms
508 bytes from 10.10.1.3: icmp_seq=87 ttl=64 time=0.223 ms
508 bytes from 10.10.1.3: icmp_seq=88 ttl=64 time=0.313 ms
508 bytes from 10.10.1.3: icmp_seq=89 ttl=64 time=0.299 ms
508 bytes from 10.10.1.3: icmp_seq=90 ttl=64 time=0.285 ms
508 bytes from 10.10.1.3: icmp_seq=91 ttl=64 time=0.448 ms
508 bytes from 10.10.1.3: icmp_seq=92 ttl=64 time=0.425 ms
508 bytes from 10.10.1.3: icmp_seq=93 ttl=64 time=0.487 ms
508 bytes from 10.10.1.3: icmp_seq=94 ttl=64 time=0.437 ms
508 bytes from 10.10.1.3: icmp_seq=95 ttl=64 time=0.419 ms
508 bytes from 10.10.1.3: icmp_seq=96 ttl=64 time=0.350 ms
508 bytes from 10.10.1.3: icmp_seq=97 ttl=64 time=0.442 ms
508 bytes from 10.10.1.3: icmp_seq=98 ttl=64 time=0.463 ms
508 bytes from 10.10.1.3: icmp_seq=99 ttl=64 time=0.518 ms
508 bytes from 10.10.1.3: icmp_seq=100 ttl=64 time=0.469 ms

--- 10.10.1.3 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 101383ms
rtt min/avg/max/mdev = 0.223/0.413/0.586/0.067 ms
