PING 10.10.1.3 (10.10.1.3) 1400(1428) bytes of data.
1408 bytes from 10.10.1.3: icmp_seq=1 ttl=64 time=0.372 ms
1408 bytes from 10.10.1.3: icmp_seq=2 ttl=64 time=0.427 ms
1408 bytes from 10.10.1.3: icmp_seq=3 ttl=64 time=0.406 ms
1408 bytes from 10.10.1.3: icmp_seq=4 ttl=64 time=0.477 ms
1408 bytes from 10.10.1.3: icmp_seq=5 ttl=64 time=0.439 ms
1408 bytes from 10.10.1.3: icmp_seq=6 ttl=64 time=0.449 ms
1408 bytes from 10.10.1.3: icmp_seq=7 ttl=64 time=0.581 ms
1408 bytes from 10.10.1.3: icmp_seq=8 ttl=64 time=0.429 ms
1408 bytes from 10.10.1.3: icmp_seq=9 ttl=64 time=0.363 ms
1408 bytes from 10.10.1.3: icmp_seq=10 ttl=64 time=0.477 ms
1408 bytes from 10.10.1.3: icmp_seq=11 ttl=64 time=0.427 ms
1408 bytes from 10.10.1.3: icmp_seq=12 ttl=64 time=0.355 ms
1408 bytes from 10.10.1.3: icmp_seq=13 ttl=64 time=0.514 ms
1408 bytes from 10.10.1.3: icmp_seq=14 ttl=64 time=0.385 ms
1408 bytes from 10.10.1.3: icmp_seq=15 ttl=64 time=0.391 ms
1408 bytes from 10.10.1.3: icmp_seq=16 ttl=64 time=0.468 ms
1408 bytes from 10.10.1.3: icmp_seq=17 ttl=64 time=0.376 ms
1408 bytes from 10.10.1.3: icmp_seq=18 ttl=64 time=0.459 ms
1408 bytes from 10.10.1.3: icmp_seq=19 ttl=64 time=0.453 ms
1408 bytes from 10.10.1.3: icmp_seq=20 ttl=64 time=0.459 ms
1408 bytes from 10.10.1.3: icmp_seq=21 ttl=64 time=0.399 ms
1408 bytes from 10.10.1.3: icmp_seq=22 ttl=64 time=0.360 ms
1408 bytes from 10.10.1.3: icmp_seq=23 ttl=64 time=0.408 ms
1408 bytes from 10.10.1.3: icmp_seq=24 ttl=64 time=0.398 ms
1408 bytes from 10.10.1.3: icmp_seq=25 ttl=64 time=0.346 ms
1408 bytes from 10.10.1.3: icmp_seq=26 ttl=64 time=0.383 ms
1408 bytes from 10.10.1.3: icmp_seq=27 ttl=64 time=0.429 ms
1408 bytes from 10.10.1.3: icmp_seq=28 ttl=64 time=0.470 ms
1408 bytes from 10.10.1.3: icmp_seq=29 ttl=64 time=0.375 ms
1408 bytes from 10.10.1.3: icmp_seq=30 ttl=64 time=0.445 ms
1408 bytes from 10.10.1.3: icmp_seq=31 ttl=64 time=0.456 ms
1408 bytes from 10.10.1.3: icmp_seq=32 ttl=64 time=0.445 ms
1408 bytes from 10.10.1.3: icmp_seq=33 ttl=64 time=0.517 ms
1408 bytes from 10.10.1.3: icmp_seq=34 ttl=64 time=0.394 ms
1408 bytes from 10.10.1.3: icmp_seq=35 ttl=64 time=0.473 ms
1408 bytes from 10.10.1.3: icmp_seq=36 ttl=64 time=0.417 ms
1408 bytes from 10.10.1.3: icmp_seq=37 ttl=64 time=0.587 ms
1408 bytes from 10.10.1.3: icmp_seq=38 ttl=64 time=0.293 ms
1408 bytes from 10.10.1.3: icmp_seq=39 ttl=64 time=0.378 ms
1408 bytes from 10.10.1.3: icmp_seq=40 ttl=64 time=0.470 ms
1408 bytes from 10.10.1.3: icmp_seq=41 ttl=64 time=0.491 ms
1408 bytes from 10.10.1.3: icmp_seq=42 ttl=64 time=0.544 ms
1408 bytes from 10.10.1.3: icmp_seq=43 ttl=64 time=0.504 ms
1408 bytes from 10.10.1.3: icmp_seq=44 ttl=64 time=0.456 ms
1408 bytes from 10.10.1.3: icmp_seq=45 ttl=64 time=0.440 ms
1408 bytes from 10.10.1.3: icmp_seq=46 ttl=64 time=0.355 ms
1408 bytes from 10.10.1.3: icmp_seq=47 ttl=64 time=0.455 ms
1408 bytes from 10.10.1.3: icmp_seq=48 ttl=64 time=0.390 ms
1408 bytes from 10.10.1.3: icmp_seq=49 ttl=64 time=0.451 ms
1408 bytes from 10.10.1.3: icmp_seq=50 ttl=64 time=0.346 ms
1408 bytes from 10.10.1.3: icmp_seq=51 ttl=64 time=0.507 ms
1408 bytes from 10.10.1.3: icmp_seq=52 ttl=64 time=0.523 ms
1408 bytes from 10.10.1.3: icmp_seq=53 ttl=64 time=0.508 ms
1408 bytes from 10.10.1.3: icmp_seq=54 ttl=64 time=0.376 ms
1408 bytes from 10.10.1.3: icmp_seq=55 ttl=64 time=0.479 ms
1408 bytes from 10.10.1.3: icmp_seq=56 ttl=64 time=0.448 ms
1408 bytes from 10.10.1.3: icmp_seq=57 ttl=64 time=0.557 ms
1408 bytes from 10.10.1.3: icmp_seq=58 ttl=64 time=0.511 ms
1408 bytes from 10.10.1.3: icmp_seq=59 ttl=64 time=0.466 ms
1408 bytes from 10.10.1.3: icmp_seq=60 ttl=64 time=0.504 ms
1408 bytes from 10.10.1.3: icmp_seq=61 ttl=64 time=0.427 ms
1408 bytes from 10.10.1.3: icmp_seq=62 ttl=64 time=0.544 ms
1408 bytes from 10.10.1.3: icmp_seq=63 ttl=64 time=0.511 ms
1408 bytes from 10.10.1.3: icmp_seq=64 ttl=64 time=0.527 ms
1408 bytes from 10.10.1.3: icmp_seq=65 ttl=64 time=0.366 ms
1408 bytes from 10.10.1.3: icmp_seq=66 ttl=64 time=0.353 ms
1408 bytes from 10.10.1.3: icmp_seq=67 ttl=64 time=0.405 ms
1408 bytes from 10.10.1.3: icmp_seq=68 ttl=64 time=0.404 ms
1408 bytes from 10.10.1.3: icmp_seq=69 ttl=64 time=0.525 ms
